ID,Country,Organization,Certificate/Badge,Record Type,Category,Subcategory,Level,Price Status,Conditions,Exam/Assessment,Duration,Language,Available from Russia,Validity,Credly/Verification,LinkedIn,Official URL,Priority,Completion Status,Evidence Status,Last Reviewed,Source Page,Extraction Method,Confidence
SRCX-08318adc1603,Global,Apache Software Foundation — Subprojects,Apache Software Foundation — Subprojects — 3D Printing source & credential directory,source-watch,3D Printing,3D Printing,catalog,⚠️ verify current offer,"Monitoring record, not a certificate claim. Verify the current official credential/course and price before calling it free.",Varies,Varies,Provider-dependent,Unknown,Varies,Provider-dependent,Varies,https://www.apache.org/,C,Не начато,Source watch — auto review,2026-08-31,,curated,discovery
SRCX-078573fc495b,United States,CompTIA,CompTIA — 3D Printing source & credential directory,source-watch,3D Printing,3D Printing,catalog,⚠️ verify current offer,"Monitoring record, not a certificate claim. Verify the current official credential/course and price before calling it free.",Varies,Varies,Provider-dependent,Unknown,Varies,Provider-dependent,Varies,https://www.comptia.org/certifications,C,Не начато,Source watch — auto review,2026-08-31,,curated,discovery
SRCX-01530fcb0a52,United States,Epic Games,Epic Games — 3D Printing source & credential directory,source-watch,3D Printing,3D Printing,catalog,⚠️ verify current offer,"Monitoring record, not a certificate claim. Verify the current official credential/course and price before calling it free.",Varies,Varies,Provider-dependent,Unknown,Varies,Provider-dependent,Varies,https://dev.epicgames.com/community/,C,Не начато,Source watch — auto review,2026-08-31,,curated,discovery
SRCX-0f4ba5fd5ce2,United States,Esri,Esri — 3D Printing source & credential directory,source-watch,3D Printing,3D Printing,catalog,⚠️ verify current offer,"Monitoring record, not a certificate claim. Verify the current official credential/course and price before calling it free.",Varies,Varies,Provider-dependent,Unknown,Varies,Provider-dependent,Varies,https://www.esri.com/training/,C,Не начато,Source watch — auto review,2026-08-31,,curated,discovery
SRCX-10dbfcdf0fec,United States,JFrog Academy,JFrog Academy — 3D Printing source & credential directory,source-watch,3D Printing,3D Printing,catalog,⚠️ verify current offer,"Monitoring record, not a certificate claim. Verify the current official credential/course and price before calling it free.",Varies,Varies,Provider-dependent,Unknown,Varies,Provider-dependent,Varies,https://academy.jfrog.com/,C,Не начато,Source watch — auto review,2026-08-31,,curated,discovery
SRCX-0322e974a224,United States,Linux Foundation Training,Linux Foundation Training — 3D Printing source & credential directory,source-watch,3D Printing,3D Printing,catalog,⚠️ verify current offer,"Monitoring record, not a certificate claim. Verify the current official credential/course and price before calling it free.",Varies,Varies,Provider-dependent,Unknown,Varies,Provider-dependent,Varies,https://training.linuxfoundation.org/,C,Не начато,Source watch — auto review,2026-08-31,,curated,discovery
SRCX-14994cbcd1e9,United States,Microchip Technology,Microchip Technology — 3D Printing source & credential directory,source-watch,3D Printing,3D Printing,catalog,⚠️ verify current offer,"Monitoring record, not a certificate claim. Verify the current official credential/course and price before calling it free.",Varies,Varies,Provider-dependent,Unknown,Varies,Provider-dependent,Varies,https://www.microchip.com/en-us/training,C,Не начато,Source watch — auto review,2026-08-31,,curated,discovery
SRCX-0ad2dad3e443,United States,Oracle,Oracle — 3D Printing source & credential directory,source-watch,3D Printing,3D Printing,catalog,⚠️ verify current offer,"Monitoring record, not a certificate claim. Verify the current official credential/course and price before calling it free.",Varies,Varies,Provider-dependent,Unknown,Varies,Provider-dependent,Varies,https://www.oracle.com/education/certification/,C,Не начато,Source watch — auto review,2026-08-31,,curated,discovery
SRCX-07de8108c368,United States,Scrum Alliance,Scrum Alliance — 3D Printing source & credential directory,source-watch,3D Printing,3D Printing,catalog,⚠️ verify current offer,"Monitoring record, not a certificate claim. Verify the current official credential/course and price before calling it free.",Varies,Varies,Provider-dependent,Unknown,Varies,Provider-dependent,Varies,https://www.scrumalliance.org/get-certified,C,Не начато,Source watch — auto review,2026-08-31,,curated,discovery
SRCX-0d5fec242c00,Global,WHO Academy,WHO Academy — 3D Printing source & credential directory,source-watch,3D Printing,3D Printing,catalog,⚠️ verify current offer,"Monitoring record, not a certificate claim. Verify the current official credential/course and price before calling it free.",Varies,Varies,Provider-dependent,Unknown,Varies,Provider-dependent,Varies,https://www.who.int/about/who-academy,C,Не начато,Source watch — auto review,2026-08-31,,curated,discovery
